"","yhat","se","yexp","diff","rf_result","real_y_rf"
"438",520.594295552977,0.3065615633526,519.615966741413,-0.978328811564211,522.354337941806,522.549451559029
"439",520.660011750369,0.261067606398035,520.072083555902,-0.587928194467167,522.660482411033,523.487921732788
"443",522.172403491779,0.252288883637344,523.487921732788,1.31551824100961,516.015350819541,516.070786730631
"445",516.80282400008,0.336431028840013,516.070786730631,-0.732037269448824,521.971014978973,523.023017991127
"447",515.435283277083,0.211947510843095,513.980195230958,-1.45508804612518,510.903958841933,508.056838306539
"448",521.954741884481,0.243504050966366,523.023017991127,1.06827610664618,528.398320096192,531.582268399588
"451",526.791216700267,0.266193839839917,531.582268399588,4.79105169932052,522.490090372205,524.650272156986
"452",522.454469012259,0.155810610781642,524.650272156986,2.19580314472694,528.459785548075,531.398673561171
"456",521.89828078974,0.250339836138594,521.561800400554,-0.336480389185226,526.689219274404,527.756369417227
"457",522.190007654795,0.22999862985657,521.834867136904,-0.355140517890618,521.813220104643,521.561800400554
"458",517.799074812508,0.328175407222049,518.720186937831,0.921112125322452,523.872642404824,522.255436351767
"459",523.57928073642,0.323990258318521,522.255436351767,-1.32384438465317,524.516034810014,522.656972057079
"463",524.562406203902,0.225628977762468,528.148086007443,3.58567980354019,516.604308325683,515.773115159975
"464",517.775138022811,0.213730235096055,516.253416415231,-1.52172160758005,522.910371072699,521.188943916076
"465",519.780739088285,0.274790217257751,517.916966245404,-1.86377284288119,519.263368731896,520.14996763743
"467",522.781532460482,0.188790820436737,524.137068331674,1.35553587119239,519.014685231409,519.316158457217
"468",523.259411687029,0.273803558024601,522.656972057079,-0.602439629949458,530.567146247479,531.852285938854
"469",518.290613389463,0.295832206772386,517.67972388807,-0.610889501393103,526.054343468744,526.925929565416
"472",521.724891866495,0.336167648724073,522.236866834355,0.511974967860397,517.298790359857,517.765410404818
"473",522.677611713412,0.18785503042278,521.188943916076,-1.48866779733532,524.086028356618,523.344865630425
"474",520.002030637206,0.263978528392157,520.14996763743,0.147937000223465,527.52836726014,527.577022035489
"476",519.107653506207,0.503554289014399,519.316158457217,0.208504951009445,518.307871777716,515.070225542161
"477",522.416529503222,0.151707472351183,521.508535706307,-0.907993796914525,523.516604948073,524.294916937705
"479",520.806350082624,0.298803213202277,523.211627541129,2.40527745850432,522.269882481253,521.628929087517
"481",520.218894782092,0.307539161986993,519.323529963463,-0.895364818629218,516.066623412798,514.215950336181
"482",526.985048132342,0.417430636284692,531.852285938854,4.86723780651187,518.779192603066,518.717547610999
"487",518.114142818479,0.24658568466787,518.379451443042,0.265308624562635,521.970297086952,522.538894736481
"489",524.569710680425,0.371984563607808,526.786548980573,2.21683830014877,518.311192930299,519.126254299301
"490",523.725493016569,0.360146410561513,523.344865630425,-0.380627386143487,512.640229358473,510.386008868562
"491",525.048349558537,0.257196149504405,527.577022035489,2.52867247695156,517.5005998236,516.589600985662
"492",519.127474139716,0.32169996455032,515.070225542161,-4.05724859755492,526.53777350755,528.879904285797
"494",519.006508021339,0.231759669055018,517.36900978192,-1.63749823941816,518.562745980042,519.458054561379
"495",522.841308916901,0.168116602880412,524.294916937705,1.45360802080415,526.973247611951,528.685581213117
"496",522.452246637933,0.172730275888929,521.628929087517,-0.823317550415595,517.087698591372,515.793427510506
"498",519.046232774255,0.190489160672439,518.717547610999,-0.328685163256182,513.36103406105,512.999040394186
"502",518.092154353384,0.300769686637131,519.126254299301,1.03409994591641,522.321941440499,522.854379808014
"505",519.186522128782,0.268668920704776,519.012463405511,-0.17405872327106,521.917030471845,522.374215504429
"506",524.565975639412,0.407327511969483,528.879904285797,4.31392864638531,522.55551565636,522.158100862483
